z,fs8,sigma
0.02,0.428,0.046
0.15,0.490,0.145
0.17,0.510,0.060
0.18,0.360,0.090
0.38,0.497,0.045
0.44,0.413,0.080
0.60,0.390,0.063
0.61,0.436,0.034
0.73,0.437,0.072
0.78,0.380,0.040
0.85,0.470,0.080
1.05,0.280,0.080
1.40,0.482,0.116
1.52,0.420,0.076
