z,Hz_km_s_Mpc,sigma
0.07,69.0,19.6
0.12,68.6,26.2
0.20,72.9,29.6
0.28,88.8,36.6
0.40,95.0,17.0
0.48,97.0,62.0
0.88,90.0,40.0
1.30,168.0,17.0
1.43,177.0,18.0
