# a  alpha_M  alpha_B  alpha_T  alpha_K
0.442424  0.78498485  0.56261212  0.00000000  1.00000000
0.446465  0.79005536  0.55289296  0.00000000  1.00000000
0.450505  0.79499303  0.54326370  0.00000000  1.00000000
0.454545  0.79980106  0.53373107  0.00000000  1.00000000
0.458586  0.80448264  0.52430108  0.00000000  1.00000000
0.462626  0.80904089  0.51497909  0.00000000  1.00000000
0.466667  0.81347893  0.50576986  0.00000000  1.00000000
0.470707  0.81779983  0.49667757  0.00000000  1.00000000
0.474747  0.82200659  0.48770586  0.00000000  1.00000000
0.478788  0.82610218  0.47885789  0.00000000  1.00000000
0.482828  0.83008954  0.47013632  0.00000000  1.00000000
0.486869  0.83397152  0.46154341  0.00000000  1.00000000
0.490909  0.83775094  0.45308101  0.00000000  1.00000000
0.494949  0.84143055  0.44475059  0.00000000  1.00000000
0.498990  0.84501306  0.43655328  0.00000000  1.00000000
0.503030  0.84850111  0.42848991  0.00000000  1.00000000
0.507071  0.85189729  0.42056099  0.00000000  1.00000000
0.511111  0.85520411  0.41276679  0.00000000  1.00000000
0.515152  0.85842406  0.40510731  0.00000000  1.00000000
0.519192  0.86155953  0.39758235  0.00000000  1.00000000
0.523232  0.86461288  0.39019148  0.00000000  1.00000000
0.527273  0.86758641  0.38293410  0.00000000  1.00000000
0.531313  0.87048234  0.37580945  0.00000000  1.00000000
0.535354  0.87330286  0.36881658  0.00000000  1.00000000
0.539394  0.87605008  0.36195445  0.00000000  1.00000000
0.543434  0.87872608  0.35522186  0.00000000  1.00000000
0.547475  0.88133285  0.34861752  0.00000000  1.00000000
0.551515  0.88387237  0.34214002  0.00000000  1.00000000
0.555556  0.88634652  0.33578789  0.00000000  1.00000000
0.559596  0.88875716  0.32955956  0.00000000  1.00000000
0.563636  0.89110609  0.32345341  0.00000000  1.00000000
0.567677  0.89339506  0.31746775  0.00000000  1.00000000
0.571717  0.89562576  0.31160085  0.00000000  1.00000000
0.575758  0.89779986  0.30585092  0.00000000  1.00000000
0.579798  0.89991894  0.30021615  0.00000000  1.00000000
0.583838  0.90198456  0.29469470  0.00000000  1.00000000
0.587879  0.90399825  0.28928471  0.00000000  1.00000000
0.591919  0.90596147  0.28398429  0.00000000  1.00000000
0.595960  0.90787564  0.27879154  0.00000000  1.00000000
0.600000  0.90974215  0.27370458  0.00000000  1.00000000
0.608163  0.91337328  0.26374177  0.00000000  1.00000000
0.616327  0.91682589  0.25418726  0.00000000  1.00000000
0.624490  0.92010994  0.24502546  0.00000000  1.00000000
0.632653  0.92323481  0.23624098  0.00000000  1.00000000
0.640816  0.92620933  0.22781868  0.00000000  1.00000000
0.648980  0.92904179  0.21974380  0.00000000  1.00000000
0.657143  0.93174000  0.21200191  0.00000000  1.00000000
0.665306  0.93431129  0.20457900  0.00000000  1.00000000
0.673469  0.93676257  0.19746151  0.00000000  1.00000000
0.681633  0.93910034  0.19063631  0.00000000  1.00000000
0.689796  0.94133069  0.18409075  0.00000000  1.00000000
0.697959  0.94345937  0.17781262  0.00000000  1.00000000
0.706122  0.94549179  0.17179020  0.00000000  1.00000000
0.714286  0.94743304  0.16601224  0.00000000  1.00000000
0.722449  0.94928791  0.16046792  0.00000000  1.00000000
0.730612  0.95106090  0.15514690  0.00000000  1.00000000
0.738776  0.95275625  0.15003926  0.00000000  1.00000000
0.746939  0.95437797  0.14513552  0.00000000  1.00000000
0.755102  0.95592983  0.14042663  0.00000000  1.00000000
0.763265  0.95741537  0.13590392  0.00000000  1.00000000
0.771429  0.95883795  0.13155912  0.00000000  1.00000000
0.779592  0.96020072  0.12738434  0.00000000  1.00000000
0.787755  0.96150665  0.12337204  0.00000000  1.00000000
0.795918  0.96275856  0.11951505  0.00000000  1.00000000
0.804082  0.96395910  0.11580652  0.00000000  1.00000000
0.812245  0.96511077  0.11223990  0.00000000  1.00000000
0.820408  0.96621594  0.10880898  0.00000000  1.00000000
0.828571  0.96727685  0.10550782  0.00000000  1.00000000
0.836735  0.96829560  0.10233077  0.00000000  1.00000000
0.844898  0.96927419  0.09927244  0.00000000  1.00000000
0.853061  0.97021452  0.09632769  0.00000000  1.00000000
0.861224  0.97111836  0.09349162  0.00000000  1.00000000
0.869388  0.97198742  0.09075958  0.00000000  1.00000000
0.877551  0.97282329  0.08812712  0.00000000  1.00000000
0.885714  0.97362749  0.08559001  0.00000000  1.00000000
0.893878  0.97440145  0.08314421  0.00000000  1.00000000
0.902041  0.97514654  0.08078587  0.00000000  1.00000000
0.910204  0.97586406  0.07851133  0.00000000  1.00000000
0.918367  0.97655522  0.07631708  0.00000000  1.00000000
0.926531  0.97722118  0.07419981  0.00000000  1.00000000
0.934694  0.97786306  0.07215632  0.00000000  1.00000000
0.942857  0.97848190  0.07018358  0.00000000  1.00000000
0.951020  0.97907868  0.06827871  0.00000000  1.00000000
0.959184  0.97965437  0.06643895  0.00000000  1.00000000
0.967347  0.98020985  0.06466166  0.00000000  1.00000000
0.975510  0.98074598  0.06294433  0.00000000  1.00000000
0.983673  0.98126358  0.06128456  0.00000000  1.00000000
0.991837  0.98176341  0.05968007  0.00000000  1.00000000
1.000000  0.98224620  0.05812866  0.00000000  1.00000000
