z,s_hat,chi
0.05648705,-0.1422501643,2.4631293473
0.05678698,-0.1429888458,2.4625635812
0.05708691,-0.1437273576,2.4619981184
0.05738684,-0.1444656999,2.4614329588
0.05768677,-0.1452038728,2.4608681020
0.05798670,-0.1459418762,2.4603035479
0.05828663,-0.1466797104,2.4597392962
0.05858656,-0.1474173754,2.4591753468
0.05888649,-0.1481548713,2.4586116993
0.05918642,-0.1488921982,2.4580483537
0.05948635,-0.1496293562,2.4574853096
0.05978628,-0.1503663453,2.4569225668
0.06008621,-0.1511031657,2.4563601251
0.06038614,-0.1518398175,2.4557979844
0.06068607,-0.1525763007,2.4552361443
0.06098600,-0.1533126154,2.4546746047
0.06128593,-0.1540487617,2.4541133653
0.06158586,-0.1547847398,2.4535524259
0.06188579,-0.1555205497,2.4529917864
0.06218572,-0.1562561914,2.4524314464
0.06248565,-0.1569916652,2.4518714058
0.06278558,-0.1577269710,2.4513116643
0.06308551,-0.1584621090,2.4507522218
0.06338544,-0.1591970792,2.4501930780
0.06368537,-0.1599318817,2.4496342327
0.06398530,-0.1606665167,2.4490756856
0.06428523,-0.1614009843,2.4485174366
0.06458516,-0.1621352844,2.4479594855
0.06488509,-0.1628694172,2.4474018320
0.06518502,-0.1636033828,2.4468444759
0.06548495,-0.1643371813,2.4462874170
0.06578488,-0.1650708127,2.4457306551
0.06608481,-0.1658042773,2.4451741899
0.06638474,-0.1665375749,2.4446180213
0.06668467,-0.1672707058,2.4440621491
0.06698460,-0.1680036700,2.4435065729
0.06728453,-0.1687364676,2.4429512927
0.06758446,-0.1694690987,2.4423963082
0.06788439,-0.1702015634,2.4418416191
0.06818432,-0.1709338618,2.4412872253
0.06848425,-0.1716659940,2.4407331266
0.06878418,-0.1723979600,2.4401793227
0.06908411,-0.1731297599,2.4396258134
0.06938404,-0.1738613939,2.4390725986
0.06968397,-0.1745928619,2.4385196779
0.06998390,-0.1753241642,2.4379670513
0.07028383,-0.1760553008,2.4374147184
0.07058376,-0.1767862718,2.4368626791
0.07088369,-0.1775170772,2.4363109331
0.07118362,-0.1782477173,2.4357594803
0.07148355,-0.1789781919,2.4352083204
0.07178348,-0.1797085013,2.4346574532
0.07208341,-0.1804386455,2.4341068786
0.07238334,-0.1811686246,2.4335565962
0.07268327,-0.1818984387,2.4330066059
0.07298320,-0.1826280879,2.4324569076
0.07328313,-0.1833575723,2.4319075008
0.07358306,-0.1840868919,2.4313583856
0.07388299,-0.1848160469,2.4308095616
0.07418292,-0.1855450373,2.4302610286
0.07448285,-0.1862738632,2.4297127865
0.07478278,-0.1870025248,2.4291648350
0.07508271,-0.1877310220,2.4286171739
0.07538264,-0.1884593551,2.4280698031
0.07568257,-0.1891875240,2.4275227222
0.07598250,-0.1899155288,2.4269759311
0.07628243,-0.1906433697,2.4264294297
0.07658236,-0.1913710467,2.4258832176
0.07688229,-0.1920985600,2.4253372946
0.07718222,-0.1928259095,2.4247916607
0.07748215,-0.1935530955,2.4242463155
0.07778208,-0.1942801179,2.4237012588
0.07808201,-0.1950069769,2.4231564905
0.07838194,-0.1957336725,2.4226120103
0.07868187,-0.1964602049,2.4220678181
0.07898180,-0.1971865741,2.4215239136
0.07928173,-0.1979127802,2.4209802966
0.07958166,-0.1986388233,2.4204369670
0.07988159,-0.1993647035,2.4198939245
0.08018152,-0.2000904208,2.4193511688
