z,s_hat,chi
0.81261056,-1.6364856360,1.6547173585
0.81291049,-1.6369819121,1.6545624365
0.81321042,-1.6374781418,1.6544076086
0.81351035,-1.6379743250,1.6542528746
0.81381028,-1.6384704619,1.6540982347
0.81411021,-1.6389665524,1.6539436887
0.81441014,-1.6394625965,1.6537892367
0.81471007,-1.6399585944,1.6536348786
0.81501000,-1.6404545459,1.6534806143
0.81530993,-1.6409504512,1.6533264439
0.81560986,-1.6414463103,1.6531723673
0.81590979,-1.6419421232,1.6530183845
0.81620972,-1.6424378899,1.6528644954
0.81650965,-1.6429336104,1.6527107001
0.81680958,-1.6434292849,1.6525569984
0.81710951,-1.6439249133,1.6524033905
0.81740944,-1.6444204956,1.6522498761
0.81770937,-1.6449160318,1.6520964554
0.81800930,-1.6454115221,1.6519431283
0.81830923,-1.6459069664,1.6517898947
0.81860916,-1.6464023648,1.6516367546
0.81890909,-1.6468977172,1.6514837080
0.81920902,-1.6473930238,1.6513307549
0.81950895,-1.6478882845,1.6511778952
0.81980888,-1.6483834993,1.6510251289
0.82010881,-1.6488786684,1.6508724560
0.82040874,-1.6493737917,1.6507198765
0.82070867,-1.6498688692,1.6505673902
0.82100860,-1.6503639010,1.6504149972
0.82130853,-1.6508588871,1.6502626975
0.82160846,-1.6513538275,1.6501104911
0.82190839,-1.6518487224,1.6499583778
0.82220832,-1.6523435716,1.6498063577
0.82250825,-1.6528383752,1.6496544307
0.82280818,-1.6533331332,1.6495025968
0.82310811,-1.6538278458,1.6493508561
0.82340804,-1.6543225128,1.6491992083
0.82370797,-1.6548171344,1.6490476536
0.82400790,-1.6553117105,1.6488961919
0.82430783,-1.6558062412,1.6487448232
0.82460776,-1.6563007266,1.6485935474
0.82490769,-1.6567951665,1.6484423645
0.82520762,-1.6572895612,1.6482912744
0.82550755,-1.6577839105,1.6481402772
0.82580748,-1.6582782146,1.6479893729
0.82610741,-1.6587724734,1.6478385613
0.82640734,-1.6592666870,1.6476878425
0.82670727,-1.6597608554,1.6475372164
0.82700720,-1.6602549787,1.6473866830
0.82730713,-1.6607490568,1.6472362423
0.82760706,-1.6612430898,1.6470858943
0.82790699,-1.6617370777,1.6469356388
0.82820692,-1.6622310206,1.6467854760
0.82850685,-1.6627249184,1.6466354056
0.82880678,-1.6632187712,1.6464854279
0.82910671,-1.6637125791,1.6463355426
0.82940664,-1.6642063421,1.6461857498
0.82970657,-1.6647000601,1.6460360494
0.83000650,-1.6651937332,1.6458864414
0.83030643,-1.6656873615,1.6457369258
0.83060636,-1.6661809450,1.6455875026
0.83090629,-1.6666744836,1.6454381717
0.83120622,-1.6671679775,1.6452889331
0.83150615,-1.6676614266,1.6451397867
0.83180608,-1.6681548310,1.6449907326
0.83210601,-1.6686481907,1.6448417707
0.83240594,-1.6691415058,1.6446929010
0.83270587,-1.6696347762,1.6445441234
0.83300580,-1.6701280020,1.6443954379
0.83330573,-1.6706211832,1.6442468446
0.83360566,-1.6711143199,1.6440983433
0.83390559,-1.6716074120,1.6439499340
0.83420552,-1.6721004597,1.6438016167
0.83450545,-1.6725934628,1.6436533914
0.83480538,-1.6730864216,1.6435052581
0.83510531,-1.6735793359,1.6433572166
0.83540524,-1.6740722058,1.6432092671
0.83570517,-1.6745650314,1.6430614094
0.83600510,-1.6750578126,1.6429136435
0.83630503,-1.6755505495,1.6427659695
0.83660496,-1.6760432422,1.6426183872
0.83690489,-1.6765358905,1.6424708966
0.83720482,-1.6770284947,1.6423234978
0.83750475,-1.6775210547,1.6421761906
0.83780468,-1.6780135705,1.6420289751
0.83810461,-1.6785060422,1.6418818513
0.83840454,-1.6789984697,1.6417348190
0.83870447,-1.6794908532,1.6415878783
0.83900440,-1.6799831926,1.6414410291
0.83930433,-1.6804754880,1.6412942715
0.83960426,-1.6809677394,1.6411476053
0.83990419,-1.6814599468,1.6410010306
0.84020412,-1.6819521102,1.6408545473
0.84050405,-1.6824442298,1.6407081554
0.84080398,-1.6829363054,1.6405618549
0.84110391,-1.6834283372,1.6404156457
0.84140384,-1.6839203251,1.6402695278
0.84170377,-1.6844122692,1.6401235012
0.84200370,-1.6849041696,1.6399775658
0.84230363,-1.6853960261,1.6398317217
0.84260356,-1.6858878390,1.6396859688
0.84290349,-1.6863796082,1.6395403070
0.84320342,-1.6868713336,1.6393947363
0.84350335,-1.6873630155,1.6392492568
0.84380328,-1.6878546537,1.6391038683
0.84410321,-1.6883462483,1.6389585709
0.84440314,-1.6888377993,1.6388133645
0.84470307,-1.6893293068,1.6386682491
0.84500300,-1.6898207708,1.6385232247
0.84530293,-1.6903121914,1.6383782912
0.84560286,-1.6908035684,1.6382334486
0.84590279,-1.6912949021,1.6380886969
0.84620272,-1.6917861923,1.6379440360
0.84650265,-1.6922774391,1.6377994659
0.84680258,-1.6927686426,1.6376549866
0.84710251,-1.6932598028,1.6375105981
0.84740244,-1.6937509197,1.6373663003
0.84770237,-1.6942419934,1.6372220933
0.84800230,-1.6947330238,1.6370779769
0.84830223,-1.6952240109,1.6369339511
0.84860216,-1.6957149549,1.6367900160
0.84890209,-1.6962058558,1.6366461714
0.84920202,-1.6966967135,1.6365024174
0.84950195,-1.6971875281,1.6363587539
0.84980188,-1.6976782996,1.6362151809
0.85010181,-1.6981690281,1.6360716984
0.85040174,-1.6986597136,1.6359283064
0.85070167,-1.6991503560,1.6357850048
0.85100160,-1.6996409555,1.6356417935
0.85130153,-1.7001315121,1.6354986726
0.85160146,-1.7006220257,1.6353556420
0.85190139,-1.7011124965,1.6352127018
0.85220132,-1.7016029244,1.6350698518
0.85250125,-1.7020933095,1.6349270920
0.85280118,-1.7025836518,1.6347844225
0.85310111,-1.7030739513,1.6346418431
0.85340104,-1.7035642080,1.6344993539
0.85370097,-1.7040544220,1.6343569548
0.85400090,-1.7045445933,1.6342146458
0.85430083,-1.7050347220,1.6340724269
0.85460076,-1.7055248080,1.6339302980
0.85490069,-1.7060148514,1.6337882592
0.85520062,-1.7065048522,1.6336463103
0.85550055,-1.7069948104,1.6335044514
0.85580048,-1.7074847262,1.6333626824
0.85610041,-1.7079745994,1.6332210033
0.85640034,-1.7084644301,1.6330794141
0.85670027,-1.7089542184,1.6329379147
0.85700020,-1.7094439642,1.6327965051
0.85730013,-1.7099336676,1.6326551853
0.85760006,-1.7104233287,1.6325139553
0.85789999,-1.7109129474,1.6323728150
0.85819992,-1.7114025238,1.6322317644
0.85849985,-1.7118920580,1.6320908034
0.85879978,-1.7123815498,1.6319499321
0.85909971,-1.7128709994,1.6318091504
0.85939964,-1.7133604068,1.6316684583
0.85969957,-1.7138497720,1.6315278557
0.85999950,-1.7143390951,1.6313873427
0.86029943,-1.7148283760,1.6312469191
0.86059936,-1.7153176149,1.6311065851
0.86089929,-1.7158068116,1.6309663404
0.86119922,-1.7162959663,1.6308261852
0.86149915,-1.7167850790,1.6306861193
0.86179908,-1.7172741497,1.6305461428
0.86209901,-1.7177631784,1.6304062557
0.86239894,-1.7182521651,1.6302664578
0.86269887,-1.7187411100,1.6301267492
0.86299880,-1.7192300129,1.6299871298
0.86329873,-1.7197188740,1.6298475997
0.86359866,-1.7202076933,1.6297081587
0.86389859,-1.7206964708,1.6295688069
0.86419852,-1.7211852064,1.6294295442
0.86449845,-1.7216739003,1.6292903706
0.86479838,-1.7221625525,1.6291512860
0.86509831,-1.7226511630,1.6290122905
0.86539824,-1.7231397318,1.6288733840
0.86569817,-1.7236282590,1.6287345665
0.86599810,-1.7241167445,1.6285958380
0.86629803,-1.7246051884,1.6284571983
0.86659796,-1.7250935908,1.6283186476
0.86689789,-1.7255819516,1.6281801857
0.86719782,-1.7260702710,1.6280418127
0.86749775,-1.7265585488,1.6279035285
0.86779768,-1.7270467851,1.6277653330
0.86809761,-1.7275349801,1.6276272263
0.86839754,-1.7280231336,1.6274892084
0.86869747,-1.7285112457,1.6273512791
0.86899740,-1.7289993165,1.6272134385
0.86929733,-1.7294873460,1.6270756865
0.86959726,-1.7299753341,1.6269380232
0.86989719,-1.7304632810,1.6268004484
0.87019712,-1.7309511866,1.6266629622
0.87049705,-1.7314390510,1.6265255645
0.87079698,-1.7319268742,1.6263882553
0.87109691,-1.7324146562,1.6262510345
0.87139684,-1.7329023971,1.6261139022
0.87169677,-1.7333900969,1.6259768583
0.87199670,-1.7338777556,1.6258399028
0.87229663,-1.7343653732,1.6257030357
0.87259656,-1.7348529498,1.6255662569
0.87289649,-1.7353404854,1.6254295663
0.87319642,-1.7358279799,1.6252929641
0.87349635,-1.7363154336,1.6251564500
0.87379628,-1.7368028463,1.6250200242
0.87409621,-1.7372902181,1.6248836866
0.87439614,-1.7377775490,1.6247474371
0.87469607,-1.7382648390,1.6246112758
0.87499600,-1.7387520883,1.6244752025
0.87529593,-1.7392392967,1.6243392173
0.87559586,-1.7397264644,1.6242033202
0.87589579,-1.7402135913,1.6240675110
0.87619572,-1.7407006775,1.6239317899
0.87649565,-1.7411877230,1.6237961567
0.87679558,-1.7416747278,1.6236606114
0.87709551,-1.7421616920,1.6235251540
0.87739544,-1.7426486156,1.6233897845
0.87769537,-1.7431354986,1.6232545028
0.87799530,-1.7436223410,1.6231193089
0.87829523,-1.7441091429,1.6229842029
0.87859516,-1.7445959043,1.6228491845
0.87889509,-1.7450826252,1.6227142539
0.87919502,-1.7455693057,1.6225794111
0.87949495,-1.7460559457,1.6224446558
0.87979488,-1.7465425453,1.6223099882
0.88009481,-1.7470291045,1.6221754083
0.88039474,-1.7475156234,1.6220409159
0.88069467,-1.7480021020,1.6219065110
0.88099460,-1.7484885402,1.6217721937
0.88129453,-1.7489749382,1.6216379639
0.88159446,-1.7494612959,1.6215038216
0.88189439,-1.7499476135,1.6213697667
0.88219432,-1.7504338908,1.6212357992
0.88249425,-1.7509201279,1.6211019191
0.88279418,-1.7514063250,1.6209681263
0.88309411,-1.7518924819,1.6208344209
0.88339404,-1.7523785987,1.6207008028
0.88369397,-1.7528646754,1.6205672720
0.88399390,-1.7533507121,1.6204338284
0.88429383,-1.7538367088,1.6203004720
0.88459376,-1.7543226656,1.6201672028
0.88489369,-1.7548085823,1.6200340207
0.88519362,-1.7552944591,1.6199009258
0.88549355,-1.7557802961,1.6197679180
0.88579348,-1.7562660931,1.6196349972
0.88609341,-1.7567518503,1.6195021635
0.88639334,-1.7572375676,1.6193694169
0.88669327,-1.7577232452,1.6192367572
0.88699320,-1.7582088830,1.6191041844
0.88729313,-1.7586944810,1.6189716986
0.88759306,-1.7591800393,1.6188392997
0.88789299,-1.7596655579,1.6187069877
0.88819292,-1.7601510369,1.6185747625
0.88849285,-1.7606364762,1.6184426241
0.88879278,-1.7611218758,1.6183105725
0.88909271,-1.7616072359,1.6181786077
0.88939264,-1.7620925564,1.6180467296
0.88969257,-1.7625778374,1.6179149382
0.88999250,-1.7630630789,1.6177832335
0.89029243,-1.7635482808,1.6176516154
0.89059236,-1.7640334434,1.6175200840
0.89089229,-1.7645185664,1.6173886391
0.89119222,-1.7650036501,1.6172572808
0.89149215,-1.7654886943,1.6171260091
0.89179208,-1.7659736993,1.6169948238
0.89209201,-1.7664586648,1.6168637250
0.89239194,-1.7669435911,1.6167327127
0.89269187,-1.7674284781,1.6166017868
0.89299180,-1.7679133258,1.6164709472
0.89329173,-1.7683981343,1.6163401941
0.89359166,-1.7688829036,1.6162095272
0.89389159,-1.7693676338,1.6160789467
0.89419152,-1.7698523247,1.6159484525
0.89449145,-1.7703369766,1.6158180445
0.89479138,-1.7708215893,1.6156877227
0.89509131,-1.7713061630,1.6155574871
0.89539124,-1.7717906976,1.6154273377
0.89569117,-1.7722751932,1.6152972744
0.89599110,-1.7727596498,1.6151672972
0.89629103,-1.7732440675,1.6150374061
0.89659096,-1.7737284461,1.6149076011
0.89689089,-1.7742127859,1.6147778820
0.89719082,-1.7746970868,1.6146482490
0.89749075,-1.7751813488,1.6145187019
0.89779068,-1.7756655719,1.6143892408
0.89809061,-1.7761497563,1.6142598656
0.89839054,-1.7766339018,1.6141305762
0.89869047,-1.7771180086,1.6140013727
0.89899040,-1.7776020767,1.6138722551
0.89929033,-1.7780861060,1.6137432232
0.89959026,-1.7785700967,1.6136142771
0.89989019,-1.7790540487,1.6134854167
0.90019012,-1.7795379620,1.6133566421
0.90049005,-1.7800218367,1.6132279531
0.90078998,-1.7805056729,1.6130993498
0.90108991,-1.7809894705,1.6129708321
0.90138984,-1.7814732296,1.6128424000
0.90168977,-1.7819569501,1.6127140534
0.90198970,-1.7824406322,1.6125857925
0.90228963,-1.7829242758,1.6124576170
0.90258956,-1.7834078810,1.6123295270
0.90288949,-1.7838914478,1.6122015224
0.90318942,-1.7843749762,1.6120736033
0.90348935,-1.7848584662,1.6119457696
0.90378928,-1.7853419179,1.6118180213
0.90408921,-1.7858253314,1.6116903583
0.90438914,-1.7863087065,1.6115627806
0.90468907,-1.7867920434,1.6114352882
0.90498900,-1.7872753421,1.6113078810
0.90528893,-1.7877586025,1.6111805591
0.90558886,-1.7882418248,1.6110533224
0.90588879,-1.7887250089,1.6109261709
0.90618872,-1.7892081550,1.6107991045
0.90648865,-1.7896912629,1.6106721232
0.90678858,-1.7901743327,1.6105452270
0.90708851,-1.7906573645,1.6104184158
0.90738844,-1.7911403583,1.6102916897
0.90768837,-1.7916233141,1.6101650486
0.90798830,-1.7921062319,1.6100384925
0.90828823,-1.7925891117,1.6099120213
0.90858816,-1.7930719537,1.6097856350
0.90888809,-1.7935547577,1.6096593336
0.90918802,-1.7940375239,1.6095331171
0.90948795,-1.7945202522,1.6094069854
0.90978788,-1.7950029427,1.6092809386
0.91008781,-1.7954855955,1.6091549764
0.91038774,-1.7959682104,1.6090290991
0.91068767,-1.7964507876,1.6089033064
0.91098760,-1.7969333271,1.6087775985
0.91128753,-1.7974158289,1.6086519752
0.91158746,-1.7978982931,1.6085264365
0.91188739,-1.7983807196,1.6084009825
0.91218732,-1.7988631085,1.6082756130
0.91248725,-1.7993454598,1.6081503281
0.91278718,-1.7998277735,1.6080251277
0.91308711,-1.8003100497,1.6079000118
0.91338704,-1.8007922884,1.6077749803
0.91368697,-1.8012744896,1.6076500333
0.91398690,-1.8017566533,1.6075251707
0.91428683,-1.8022387796,1.6074003925
0.91458676,-1.8027208685,1.6072756986
0.91488669,-1.8032029200,1.6071510890
0.91518662,-1.8036849341,1.6070265638
0.91548655,-1.8041669109,1.6069021228
0.91578648,-1.8046488504,1.6067777660
0.91608641,-1.8051307526,1.6066534935
0.91638634,-1.8056126176,1.6065293051
0.91668627,-1.8060944453,1.6064052009
0.91698620,-1.8065762358,1.6062811808
0.91728613,-1.8070579891,1.6061572448
0.91758606,-1.8075397052,1.6060333929
0.91788599,-1.8080213842,1.6059096250
0.91818592,-1.8085030261,1.6057859411
0.91848585,-1.8089846310,1.6056623412
0.91878578,-1.8094661987,1.6055388253
0.91908571,-1.8099477295,1.6054153933
0.91938564,-1.8104292232,1.6052920451
0.91968557,-1.8109106799,1.6051687809
0.91998550,-1.8113920997,1.6050456005
0.92028543,-1.8118734826,1.6049225039
0.92058536,-1.8123548285,1.6047994911
0.92088529,-1.8128361376,1.6046765620
0.92118522,-1.8133174098,1.6045537167
0.92148515,-1.8137986451,1.6044309551
0.92178508,-1.8142798437,1.6043082771
0.92208501,-1.8147610055,1.6041856828
0.92238494,-1.8152421305,1.6040631721
0.92268487,-1.8157232188,1.6039407450
0.92298480,-1.8162042704,1.6038184015
0.92328473,-1.8166852853,1.6036961414
0.92358466,-1.8171662635,1.6035739649
0.92388459,-1.8176472051,1.6034518719
0.92418452,-1.8181281101,1.6033298623
0.92448445,-1.8186089785,1.6032079361
0.92478438,-1.8190898104,1.6030860933
0.92508431,-1.8195706058,1.6029643338
0.92538424,-1.8200513646,1.6028426577
0.92568417,-1.8205320869,1.6027210649
0.92598410,-1.8210127728,1.6025995554
0.92628403,-1.8214934223,1.6024781291
0.92658396,-1.8219740353,1.6023567860
0.92688389,-1.8224546120,1.6022355262
0.92718382,-1.8229351523,1.6021143495
0.92748375,-1.8234156563,1.6019932559
0.92778368,-1.8238961240,1.6018722454
0.92808361,-1.8243765553,1.6017513180
0.92838354,-1.8248569505,1.6016304736
0.92868347,-1.8253373094,1.6015097123
0.92898340,-1.8258176321,1.6013890340
0.92928333,-1.8262979186,1.6012684386
0.92958326,-1.8267781689,1.6011479262
0.92988319,-1.8272583832,1.6010274966
0.93018312,-1.8277385613,1.6009071500
0.93048305,-1.8282187033,1.6007868862
0.93078298,-1.8286988093,1.6006667052
0.93108291,-1.8291788792,1.6005466070
0.93138284,-1.8296589131,1.6004265916
0.93168277,-1.8301389111,1.6003066589
0.93198270,-1.8306188731,1.6001868089
0.93228263,-1.8310987991,1.6000670416
0.93258256,-1.8315786893,1.5999473569
0.93288249,-1.8320585435,1.5998277549
0.93318242,-1.8325383619,1.5997082355
0.93348235,-1.8330181445,1.5995887986
0.93378228,-1.8334978912,1.5994694443
0.93408221,-1.8339776022,1.5993501725
0.93438214,-1.8344572774,1.5992309831
0.93468207,-1.8349369169,1.5991118762
0.93498200,-1.8354165206,1.5989928518
0.93528193,-1.8358960887,1.5988739097
0.93558186,-1.8363756211,1.5987550500
0.93588179,-1.8368551179,1.5986362727
0.93618172,-1.8373345790,1.5985175776
0.93648165,-1.8378140046,1.5983989649
0.93678158,-1.8382933946,1.5982804344
0.93708151,-1.8387727491,1.5981619861
0.93738144,-1.8392520680,1.5980436200
0.93768137,-1.8397313515,1.5979253361
0.93798130,-1.8402105995,1.5978071343
0.93828123,-1.8406898121,1.5976890147
0.93858116,-1.8411689892,1.5975709771
0.93888109,-1.8416481310,1.5974530216
0.93918102,-1.8421272374,1.5973351481
0.93948095,-1.8426063084,1.5972173566
0.93978088,-1.8430853442,1.5970996471
0.94008081,-1.8435643446,1.5969820195
0.94038074,-1.8440433098,1.5968644739
0.94068067,-1.8445222397,1.5967470101
0.94098060,-1.8450011344,1.5966296282
0.94128053,-1.8454799939,1.5965123281
0.94158046,-1.8459588183,1.5963951098
0.94188039,-1.8464376075,1.5962779733
0.94218032,-1.8469163615,1.5961609186
0.94248025,-1.8473950805,1.5960439455
0.94278018,-1.8478737644,1.5959270542
0.94308011,-1.8483524133,1.5958102445
0.94338004,-1.8488310272,1.5956935164
0.94367997,-1.8493096060,1.5955768699
0.94397990,-1.8497881499,1.5954603050
0.94427983,-1.8502666588,1.5953438217
0.94457976,-1.8507451328,1.5952274199
0.94487969,-1.8512235719,1.5951110995
0.94517962,-1.8517019761,1.5949948606
0.94547955,-1.8521803455,1.5948787032
0.94577948,-1.8526586800,1.5947626272
0.94607941,-1.8531369798,1.5946466325
0.94637934,-1.8536152447,1.5945307192
0.94667927,-1.8540934750,1.5944148872
0.94697920,-1.8545716704,1.5942991365
0.94727913,-1.8550498312,1.5941834670
0.94757906,-1.8555279573,1.5940678788
0.94787899,-1.8560060487,1.5939523718
0.94817892,-1.8564841056,1.5938369460
0.94847885,-1.8569621278,1.5937216013
0.94877878,-1.8574401154,1.5936063377
0.94907871,-1.8579180684,1.5934911552
0.94937864,-1.8583959870,1.5933760538
0.94967857,-1.8588738710,1.5932610335
0.94997850,-1.8593517205,1.5931460941
0.95027843,-1.8598295356,1.5930312357
0.95057836,-1.8603073162,1.5929164583
0.95087829,-1.8607850624,1.5928017617
0.95117822,-1.8612627742,1.5926871461
0.95147815,-1.8617404517,1.5925726114
0.95177808,-1.8622180948,1.5924581574
0.95207801,-1.8626957036,1.5923437843
0.95237794,-1.8631732781,1.5922294920
0.95267787,-1.8636508184,1.5921152804
0.95297780,-1.8641283244,1.5920011495
0.95327773,-1.8646057962,1.5918870994
0.95357766,-1.8650832338,1.5917731299
0.95387759,-1.8655606372,1.5916592410
0.95417752,-1.8660380064,1.5915454327
0.95447745,-1.8665153416,1.5914317051
0.95477738,-1.8669926427,1.5913180579
0.95507731,-1.8674699096,1.5912044913
0.95537724,-1.8679471426,1.5910910052
0.95567717,-1.8684243415,1.5909775996
0.95597710,-1.8689015064,1.5908642744
0.95627703,-1.8693786373,1.5907510296
0.95657696,-1.8698557342,1.5906378652
0.95687689,-1.8703327973,1.5905247811
0.95717682,-1.8708098264,1.5904117774
0.95747675,-1.8712868217,1.5902988539
0.95777668,-1.8717637831,1.5901860108
0.95807661,-1.8722407106,1.5900732478
0.95837654,-1.8727176044,1.5899605651
0.95867647,-1.8731944644,1.5898479626
0.95897640,-1.8736712906,1.5897354402
0.95927633,-1.8741480830,1.5896229979
0.95957626,-1.8746248418,1.5895106358
0.95987619,-1.8751015669,1.5893983537
0.96017612,-1.8755782583,1.5892861516
0.96047605,-1.8760549160,1.5891740296
0.96077598,-1.8765315402,1.5890619875
0.96107591,-1.8770081307,1.5889500254
0.96137584,-1.8774846877,1.5888381432
0.96167577,-1.8779612112,1.5887263409
0.96197570,-1.8784377011,1.5886146185
0.96227563,-1.8789141575,1.5885029760
0.96257556,-1.8793905804,1.5883914132
0.96287549,-1.8798669699,1.5882799302
0.96317542,-1.8803433260,1.5881685270
0.96347535,-1.8808196487,1.5880572035
0.96377528,-1.8812959380,1.5879459597
0.96407521,-1.8817721939,1.5878347956
0.96437514,-1.8822484166,1.5877237111
0.96467507,-1.8827246059,1.5876127062
0.96497500,-1.8832007619,1.5875017809
0.96527493,-1.8836768847,1.5873909352
0.96557486,-1.8841529742,1.5872801690
0.96587479,-1.8846290305,1.5871694822
0.96617472,-1.8851050537,1.5870588750
0.96647465,-1.8855810436,1.5869483472
0.96677458,-1.8860570005,1.5868378988
0.96707451,-1.8865329242,1.5867275298
0.96737444,-1.8870088148,1.5866172402
0.96767437,-1.8874846724,1.5865070299
0.96797430,-1.8879604969,1.5863968988
0.96827423,-1.8884362884,1.5862868471
0.96857416,-1.8889120469,1.5861768746
0.96887409,-1.8893877724,1.5860669813
0.96917402,-1.8898634650,1.5859571672
0.96947395,-1.8903391247,1.5858474322
0.96977388,-1.8908147514,1.5857377764
0.97007381,-1.8912903453,1.5856281997
0.97037374,-1.8917659064,1.5855187020
0.97067367,-1.8922414346,1.5854092834
0.97097360,-1.8927169299,1.5852999438
0.97127353,-1.8931923926,1.5851906832
0.97157346,-1.8936678224,1.5850815015
0.97187339,-1.8941432195,1.5849723988
0.97217332,-1.8946185839,1.5848633750
0.97247325,-1.8950939156,1.5847544300
0.97277318,-1.8955692147,1.5846455639
0.97307311,-1.8960444811,1.5845367766
0.97337304,-1.8965197149,1.5844280681
0.97367297,-1.8969949161,1.5843194383
0.97397290,-1.8974700847,1.5842108873
0.97427283,-1.8979452208,1.5841024149
0.97457276,-1.8984203244,1.5839940213
0.97487269,-1.8988953955,1.5838857062
0.97517262,-1.8993704341,1.5837774698
0.97547255,-1.8998454402,1.5836693120
0.97577248,-1.9003204139,1.5835612327
0.97607241,-1.9007953552,1.5834532320
0.97637234,-1.9012702641,1.5833453097
0.97667227,-1.9017451407,1.5832374660
0.97697220,-1.9022199849,1.5831297006
0.97727213,-1.9026947969,1.5830220137
0.97757206,-1.9031695765,1.5829144052
0.97787199,-1.9036443239,1.5828068750
0.97817192,-1.9041190390,1.5826994232
0.97847185,-1.9045937219,1.5825920496
0.97877178,-1.9050683727,1.5824847543
0.97907171,-1.9055429912,1.5823775373
0.97937164,-1.9060175776,1.5822703985
0.97967157,-1.9064921319,1.5821633378
0.97997150,-1.9069666541,1.5820563554
0.98027143,-1.9074411442,1.5819494510
0.98057136,-1.9079156023,1.5818426247
0.98087129,-1.9083900283,1.5817358765
0.98117122,-1.9088644223,1.5816292064
0.98147115,-1.9093387844,1.5815226143
0.98177108,-1.9098131145,1.5814161001
0.98207101,-1.9102874126,1.5813096639
0.98237094,-1.9107616789,1.5812033056
0.98267087,-1.9112359132,1.5810970253
0.98297080,-1.9117101157,1.5809908228
0.98327073,-1.9121842864,1.5808846981
0.98357066,-1.9126584252,1.5807786513
0.98387059,-1.9131325322,1.5806726822
0.98417052,-1.9136066075,1.5805667909
0.98447045,-1.9140806510,1.5804609773
0.98477038,-1.9145546628,1.5803552414
0.98507031,-1.9150286429,1.5802495832
0.98537024,-1.9155025913,1.5801440026
0.98567017,-1.9159765080,1.5800384996
0.98597010,-1.9164503931,1.5799330742
0.98627003,-1.9169242467,1.5798277264
0.98656996,-1.9173980686,1.5797224561
0.98686989,-1.9178718589,1.5796172633
0.98716982,-1.9183456178,1.5795121479
0.98746975,-1.9188193451,1.5794071100
0.98776968,-1.9192930409,1.5793021495
0.98806961,-1.9197667052,1.5791972664
0.98836954,-1.9202403381,1.5790924607
0.98866947,-1.9207139396,1.5789877322
0.98896940,-1.9211875097,1.5788830811
0.98926933,-1.9216610484,1.5787785072
0.98956926,-1.9221345558,1.5786740106
0.98986919,-1.9226080318,1.5785695911
0.99016912,-1.9230814765,1.5784652489
0.99046905,-1.9235548899,1.5783609838
0.99076898,-1.9240282721,1.5782567958
0.99106891,-1.9245016230,1.5781526849
0.99136884,-1.9249749427,1.5780486511
0.99166877,-1.9254482313,1.5779446943
0.99196870,-1.9259214886,1.5778408146
0.99226863,-1.9263947148,1.5777370118
0.99256856,-1.9268679099,1.5776332859
0.99286849,-1.9273410739,1.5775296370
0.99316842,-1.9278142068,1.5774260650
0.99346835,-1.9282873087,1.5773225698
0.99376828,-1.9287603795,1.5772191515
0.99406821,-1.9292334193,1.5771158100
0.99436814,-1.9297064282,1.5770125452
0.99466807,-1.9301794061,1.5769093572
0.99496800,-1.9306523530,1.5768062460
0.99526793,-1.9311252690,1.5767032114
0.99556786,-1.9315981542,1.5766002534
0.99586779,-1.9320710084,1.5764973722
0.99616772,-1.9325438319,1.5763945675
0.99646765,-1.9330166245,1.5762918394
0.99676758,-1.9334893863,1.5761891878
0.99706751,-1.9339621173,1.5760866128
0.99736744,-1.9344348176,1.5759841142
0.99766737,-1.9349074871,1.5758816921
0.99796730,-1.9353801259,1.5757793465
0.99826723,-1.9358527341,1.5756770772
0.99856716,-1.9363253116,1.5755748843
0.99886709,-1.9367978584,1.5754727678
0.99916702,-1.9372703746,1.5753707275
0.99946695,-1.9377428603,1.5752687636
0.99976688,-1.9382153153,1.5751668759
1.00006681,-1.9386877398,1.5750650645
1.00036674,-1.9391601338,1.5749633292
1.00066667,-1.9396324973,1.5748616702
1.00096660,-1.9401048303,1.5747600872
1.00126653,-1.9405771329,1.5746585804
1.00156646,-1.9410494050,1.5745571497
1.00186639,-1.9415216467,1.5744557950
1.00216632,-1.9419938580,1.5743545164
1.00246625,-1.9424660390,1.5742533137
1.00276618,-1.9429381896,1.5741521871
1.00306611,-1.9434103099,1.5740511363
1.00336604,-1.9438823999,1.5739501615
1.00366597,-1.9443544596,1.5738492626
1.00396590,-1.9448264891,1.5737484395
1.00426583,-1.9452984883,1.5736476922
1.00456576,-1.9457704574,1.5735470207
1.00486569,-1.9462423962,1.5734464250
1.00516562,-1.9467143049,1.5733459051
1.00546555,-1.9471861835,1.5732454608
1.00576548,-1.9476580319,1.5731450923
1.00606541,-1.9481298503,1.5730447994
1.00636534,-1.9486016386,1.5729445821
1.00666527,-1.9490733968,1.5728444404
1.00696520,-1.9495451250,1.5727443742
1.00726513,-1.9500168232,1.5726443836
1.00756506,-1.9504884915,1.5725444685
1.00786499,-1.9509601297,1.5724446289
1.00816492,-1.9514317381,1.5723448648
1.00846485,-1.9519033165,1.5722451760
1.00876478,-1.9523748650,1.5721455627
1.00906471,-1.9528463837,1.5720460247
1.00936464,-1.9533178725,1.5719465620
1.00966457,-1.9537893316,1.5718471747
1.00996450,-1.9542607608,1.5717478626
1.01026443,-1.9547321602,1.5716486258
1.01056436,-1.9552035299,1.5715494642
1.01086429,-1.9556748698,1.5714503777
1.01116422,-1.9561461801,1.5713513665
1.01146415,-1.9566174606,1.5712524303
1.01176408,-1.9570887115,1.5711535693
1.01206401,-1.9575599328,1.5710547833
