z,observable,value,sigma
0.38,DM_over_rd,10.27,0.15
0.38,DH_over_rd,25.00,0.76
0.51,DM_over_rd,13.38,0.18
0.51,DH_over_rd,22.33,0.59
0.61,DM_over_rd,15.45,0.23
0.61,DH_over_rd,20.75,0.60
