z,observable,value,sigma
0.15,DV_over_rd,4.47,0.17
0.38,DM_over_rd,10.23,0.17
0.38,DH_over_rd,25.00,0.76
0.51,DM_over_rd,13.36,0.21
0.51,DH_over_rd,22.33,0.58
0.61,DM_over_rd,15.45,0.22
0.61,DH_over_rd,20.75,0.53
0.70,DM_over_rd,17.86,0.33
0.70,DH_over_rd,19.33,0.53
0.85,DM_over_rd,19.50,0.40
1.48,DM_over_rd,30.69,0.80
1.48,DH_over_rd,13.26,0.55
2.33,DM_over_rd,37.60,1.29
2.33,DH_over_rd,8.93,0.28
