# H(z) cosmic chronometer compilation — DOI-verified
# Differential age method: H(z) = -1/(1+z) dz/dt
#
# z=0.07:  Zhang et al. 2014, RAA 14, 1221
#          DOI: 10.1088/1674-4527/14/10/002
# z=0.12:  Zhang et al. 2014 (same)
# z=0.20:  Zhang et al. 2014 (same)
# z=0.28:  Zhang et al. 2014 (same)
# z=0.40:  Simon et al. 2005, Phys. Rev. D 71, 123001
#          DOI: 10.1103/PhysRevD.71.123001
# z=0.48:  Stern et al. 2010, JCAP 02, 008
#          DOI: 10.1088/1475-7516/2010/02/008
# z=0.88:  Stern et al. 2010 (same)
# z=1.30:  Moresco 2015, MNRAS 450, L16
#          DOI: 10.1093/mnrasl/slv037
# z=1.43:  Moresco et al. 2016, JCAP 05, 014
#          DOI: 10.1088/1475-7516/2016/05/014
#
# Compilation following Moresco et al. 2022 review:
# DOI: 10.1007/s41114-022-00040-z
#
z,Hz_km_s_Mpc,sigma
0.07,69.0,19.6
0.12,68.6,26.2
0.20,72.9,29.6
0.28,88.8,36.6
0.40,95.0,17.0
0.48,97.0,62.0
0.88,90.0,40.0
1.30,168.0,17.0
1.43,177.0,18.0
